Season,Round,Date,Time,Home_Team,Away_Team,FT_Home_Goals,FT_Away_Goals,HT_Home_Goals,HT_Away_Goals,Total_Goals,HST,AST,HC,AC,HR,AR,AH_Result,OU_Result,Home_Elo,Away_Elo,Elo_Diff,Home_Avg_GS,Home_Avg_GA,Home_Avg_ST,Home_Avg_Corners,Away_Avg_GS,Away_Avg_GA,Away_Avg_ST,Away_Avg_Corners,Home_GS_AtHome,Home_GA_AtHome,Away_GS_AtAway,Away_GA_AtAway,Home_Attack_Eff,Home_Defense_Pressure,Away_Attack_Eff,Away_Defense_Pressure,Home_Days_Rest,Away_Days_Rest,Rest_Diff,H2H_Home_WinRate,H2H_Avg_Goals,Attack_Diff,Defense_Diff,Form_Diff
2018-2019,24,2019-01-30,20:00,利物浦,莱斯特城,1,1,1,1,2,4,3,3,8,0,1,-1,-1,1631.264529558695,1490.8183783837762,140.44615117491867,3.0,1.2,6.6,5.6,1.4,1.6,5.0,6.2,3.4,1.0,1.2,1.2,0.4209523809523808,0.375,0.3633333333333333,0.3388888888888889,11.0,11.0,0.0,1.0,3.0,1.6,0.4000000000000001,2.0
2018-2019,24,2019-01-30,20:00,托特纳姆热刺,沃特福德,2,1,0,1,3,3,1,9,5,0,0,0,1,1591.1930316983155,1506.2060874600331,84.9869442382826,2.2,1.0,6.0,5.8,1.4,1.4,3.2,3.2,2.0,1.0,2.0,1.4,0.4395238095238095,0.225,0.54,0.2833333333333333,10.0,11.0,-1.0,0.0,3.0,0.8000000000000003,0.3999999999999999,1.2000000000000002
2018-2019,25,2019-02-02,15:00,布莱顿,沃特福德,0,0,0,0,0,4,0,7,0,0,0,-1,-1,1474.7085771079576,1501.0784913405903,-26.36991423263271,1.2,1.8,3.6,3.8,1.4,1.4,3.0,3.6,1.2,1.0,2.0,1.6,0.3333333333333333,0.3276190476190476,0.64,0.3166666666666666,4.0,3.0,1.0,0.0,2.0,-0.1999999999999999,-0.4000000000000001,-0.6000000000000001
2018-2019,25,2019-02-02,17:30,卡迪夫城,伯恩茅斯,2,0,1,0,2,6,0,11,1,0,0,1,-1,1429.7240926099178,1487.3376317916488,-57.613539181731085,0.4,1.6,1.8,5.8,2.0,1.8,6.8,5.2,0.8,1.8,0.4,3.2,0.2083333333333333,0.35,0.3109523809523809,0.4333333333333333,4.0,3.0,1.0,0.0,2.0,-1.6,0.1999999999999999,-1.4
2018-2019,25,2019-02-02,15:00,水晶宫,富勒姆,2,0,1,0,2,5,2,6,7,0,0,1,-1,1456.7274773853314,1423.9955546307124,32.73192275461906,1.2,1.4,4.8,6.6,1.6,2.0,4.8,6.0,0.8,0.6,0.4,2.0,0.238095238095238,0.3642857142857142,0.3042857142857142,0.2944444444444444,14.0,4.0,10.0,1.0,2.0,-0.4000000000000001,0.6000000000000001,0.1999999999999999
2018-2019,25,2019-02-02,15:00,切尔西,哈德斯菲尔德,5,0,2,0,5,7,2,11,2,0,0,1,1,1556.1034514197152,1378.3690941018465,177.73435731786867,0.6,1.4,4.8,5.8,0.2,1.4,2.6,4.4,1.2,0.4,0.4,1.4,0.1166666666666666,0.3928571428571428,0.1,0.35,3.0,4.0,-1.0,1.0,3.0,0.3999999999999999,0.0,0.4
2018-2019,25,2019-02-02,12:30,托特纳姆热刺,纽卡斯尔联,1,0,0,0,1,4,2,6,3,0,0,-1,-1,1596.3206278177586,1459.5373734410682,136.78325437669037,1.6,1.2,5.2,7.0,1.4,1.2,2.6,4.4,1.8,1.0,0.8,1.6,0.43,0.425,0.5,0.2566666666666666,3.0,4.0,-1.0,1.0,3.0,0.2000000000000001,0.0,0.2000000000000001
2018-2019,25,2019-02-02,15:00,伯恩利,南安普敦,1,1,0,0,2,6,4,4,2,0,0,0,-1,1449.1895135193472,1452.934655973143,-3.745142453795779,1.4,1.6,3.2,4.4,1.0,1.4,3.6,4.6,1.4,1.8,1.2,1.6,0.2875,0.2611111111111112,0.2566666666666666,0.38,4.0,3.0,1.0,0.5,0.0,0.3999999999999999,-0.2000000000000001,0.1999999999999997
2018-2019,25,2019-02-03,16:30,曼彻斯特城,阿森纳,3,1,2,1,4,12,2,4,2,0,0,0,1,1603.205359512076,1559.3435722883348,43.8617872237412,2.4,0.8,5.4,6.8,1.8,1.6,4.2,4.0,2.6,1.2,1.2,2.4,0.4666666666666666,0.3625,0.3888888888888889,0.3166666666666666,5.0,5.0,0.0,1.0,2.0,0.5999999999999999,0.8,1.4
2018-2019,25,2019-02-03,14:05,莱斯特城,曼彻斯特联,0,1,0,1,1,6,6,7,2,0,0,-1,-1,1496.81141367326,1550.586416588017,-53.77500291475712,1.2,1.6,4.6,7.2,2.2,0.8,6.8,7.0,1.0,1.2,2.2,1.2,0.35,0.3388888888888889,0.3494444444444444,0.2333333333333333,4.0,5.0,-1.0,0.0,3.0,-1.0000000000000002,-0.8,-1.8000000000000005
2018-2019,25,2019-02-04,20:00,西汉姆联,利物浦,1,1,1,1,2,2,6,2,5,0,0,1,-1,1481.7764607353972,1625.2714942692112,-143.49503353381397,0.6,1.8,2.8,4.0,2.4,1.4,5.8,4.2,1.8,1.4,2.2,0.6,0.1666666666666666,0.2933333333333333,0.3709523809523809,0.4583333333333333,6.0,5.0,1.0,0.0,4.0,-1.7999999999999998,-0.4000000000000001,-2.2
2018-2019,27,2019-02-06,19:45,埃弗顿,曼彻斯特城,0,2,0,1,2,1,4,5,6,0,0,-1,-1,1468.4002701788245,1609.286150620401,-140.88588044157677,0.8,1.4,3.0,5.2,2.4,0.8,6.6,6.0,1.4,2.4,1.8,1.2,0.2833333333333333,0.3666666666666666,0.4166666666666666,0.425,4.0,3.0,1.0,0.0,4.0,-1.6,-0.5999999999999999,-2.2
2018-2019,26,2019-02-09,15:00,南安普敦,卡迪夫城,1,2,0,0,3,7,3,8,2,0,0,-1,1,1455.636323999829,1438.510128917262,17.126195082567165,1.0,1.2,3.4,4.2,0.6,1.6,2.4,7.2,1.6,1.8,0.8,1.6,0.2666666666666666,0.3333333333333333,0.2083333333333333,0.4375,7.0,7.0,0.0,0.0,1.0,0.4,0.4000000000000001,0.8
2018-2019,26,2019-02-09,17:30,布莱顿,伯恩利,1,3,0,1,4,6,5,9,3,0,0,-1,1,1472.6204995722487,1446.487845492661,26.13265407958761,1.0,1.8,3.8,4.0,1.4,0.8,3.6,4.2,0.6,0.8,0.6,1.6,0.25,0.4095238095238095,0.2666666666666666,0.1444444444444444,7.0,7.0,0.0,0.0,1.0,-0.3999999999999999,-1.0,-1.4
2018-2019,26,2019-02-09,15:00,水晶宫,西汉姆联,1,1,0,1,2,5,4,10,4,0,0,-1,-1,1463.0827587008062,1483.0218492166573,-19.93909051585115,1.6,1.4,4.8,5.4,0.8,1.6,2.4,3.4,0.8,0.6,0.8,1.6,0.3380952380952381,0.3642857142857142,0.2916666666666666,0.2466666666666666,7.0,5.0,2.0,0.0,5.0,0.8,0.2000000000000001,1.0000000000000002
2018-2019,26,2019-02-09,15:00,哈德斯菲尔德,阿森纳,1,2,0,2,3,6,4,5,0,0,0,-1,1,1375.0060151539649,1553.2627811800098,-178.25676602604517,0.2,2.2,2.0,4.2,1.8,1.2,4.2,3.8,0.4,2.0,1.0,2.6,0.1,0.4785714285714285,0.3888888888888889,0.2666666666666666,7.0,6.0,1.0,0.0,1.0,-1.6,-1.0000000000000002,-2.6
2018-2019,26,2019-02-09,15:00,利物浦,伯恩茅斯,3,0,2,0,3,9,2,8,5,0,0,1,-1,1624.026105787951,1478.5515954843047,145.4745103036464,1.6,1.4,5.0,4.2,1.8,1.4,6.2,4.4,3.4,1.2,0.2,3.0,0.3042857142857143,0.4583333333333333,0.3053571428571429,0.3999999999999999,5.0,7.0,-2.0,1.0,4.0,-0.1999999999999999,0.0,-0.1999999999999999
2018-2019,26,2019-02-10,15:59,曼彻斯特城,切尔西,6,0,4,0,6,9,4,2,2,0,0,1,1,1618.114762664103,1559.466530367597,58.64823229650597,2.4,0.6,6.6,6.8,1.4,1.4,5.4,7.2,2.6,1.2,1.0,1.6,0.4166666666666666,0.375,0.2095238095238095,0.3142857142857143,4.0,8.0,-4.0,0.0,2.0,1.0,0.7999999999999999,1.7999999999999998
2018-2019,26,2019-02-10,13:30,托特纳姆热刺,莱斯特城,3,1,1,0,4,5,9,2,9,0,0,1,1,1600.3955806892957,1485.4887464242315,114.90683426506394,1.6,0.6,5.4,7.0,1.2,1.6,4.4,6.6,1.8,1.0,1.2,1.2,0.4133333333333333,0.275,0.35,0.3055555555555556,8.0,7.0,1.0,1.0,2.0,0.4000000000000001,1.0,1.4
